Identifier	Child 	Directory	File Name	Title	Name (Creator)	Name (Contributor)	Publisher	Date Created	Date Captured	Subject (Topic)	Subject (Name)	Subject (Geographic)	Subject (Temporal)	Description	Content Note	Type of Resource	Genre	Internet Media Type	Extent	Language	Source	Digital Collection	Relation	Repository Collection Guide	Location (OCLC Member Symbol)	Location (Physical Location)	Location (Institution Web Site)	Location (Department)	Rights	Contact Information	Preferred Citation	Item Number	Record Creation Date	Record Change Date	Cataloged By	Digitized By	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	Image Manipulation (Archival)	File Size (Archival)	Hardware/Software (Archival)
1			3225001_Old Growth Pine Longleaf Pine Turpentined for One Year.jpg	Old Growth Pine Longleaf Pine Turpentined for One Year	Great Southern Lumber Company			1924-1938	11/19/2015	Longleaf pine--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225001	1988-11	2016-02	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	1680x1126	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	702 KB	Epson 10000XL/Epson Scan
2			3225002_Old Growth Long Leaf Pine Along Bogalusa Fton Highway.jpg	Old Growth Long Leaf Pine Along Bogalusa Fton Highway	Great Southern Lumber Company			1932-11-13	11/19/2015	Longleaf pine--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225002	1988-11	2016-02	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	1692x1143	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	491 KB	Epson 10000XL/Epson Scan
3			3225003_Pine Tree Nursery.jpg	Pine Tree Nursery	Great Southern Lumber Company			1924-1938	11/19/2015	Nursery stock--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225003	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3370x2149	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1262 KB	Epson 10000XL/Epson Scan
4			3225004_Slash Pine June 1931.jpg	Slash Pine June 1931	Great Southern Lumber Company			1931-06	11/19/2015	Slash pine--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225004	1988-11	2016-02	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	1986x1278	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	420 KB	Epson 10000XL/Epson Scan
5			3225005_Pine Nursery.jpg	Pine Nursery	Great Southern Lumber Company			1930	11/19/2015	Nursery stock--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225005	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2046x1411	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	725 KB	Epson 10000XL/Epson Scan
6			3225006_Slash Pine Hand Planted.jpg	Slash Pine Hand Planted	Great Southern Lumber Company			1930	11/19/2015	Slash pine--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225006	1988-11	2016-02	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	2045x1400	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	670 KB	Epson 10000XL/Epson Scan
7			3225007_Slash Pine Hand Planted in 1925-1926.jpg	Slash Pine Hand Planted in 1925-1926	Great Southern Lumber Company			1905-04-13	11/19/2015	Slash pine--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225007	1988-11	2016-02	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3379x2139	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1032 KB	Epson 10000XL/Epson Scan
8			3225008_Mr. & Mrs. Sullivan and 2 Children.jpg	Mr. & Mrs. Sullivan and 2 Children	Great Southern Lumber Company			1928	11/19/2015	"Sullivan, William H. (William Henry), d. 1929"		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225008	1988-11	2016-02	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3389x2163	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1251 KB	Epson 10000XL/Epson Scan
9			3225009_Slash Pine Hand Planted in 1924-1925.jpg	Slash Pine Hand Planted in 1924-1925	Great Southern Lumber Company			1924-1925	11/19/2015	Slash pine--Louisiana--Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225009	1988-11	2016-02	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	1453x2032	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	672 KB	Epson 10000XL/Epson Scan
10			3225010_On Outside of Fence Burned and Ravaged by Hogs.jpg	On Outside of Fence Burned and Ravaged by Hogs	Great Southern Lumber Company			1924-1938	11/19/2015	Wooden Fences--Louisiana-Bogalusa.; Trees--Louisiana--Bogalusa		Bogalusa (La.)		"The Great Southern Lumber Company was chartered in Pennsylvania on January 17, 1902. Between 1902 and 1905, the owners purchased vast areas of long-leaf virgin pine timber in Louisiana. In 1906, the Goodyear Family, who were the principal owners, erected a sawmill on the Bogue Lusa Creek in Washington Parish, and began the town of Bogalusa. From these beginnings grew the Great Southern Lumber Company, the largest sawmill in the world from its opening in 1908 until 1938, when it ceased operation. It was also the largest mill sawing yellow pine during its existence. "	Titles derived from identifications in scrapbooks from which photographs were removed.	still image		jp2	1 photograph		"Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)"	Great Southern Lumber Company Collection	http://lsu.louisianadigitallibrary.org/lsu-p16313coll92%3Acollection	http://www.lib.lsu.edu/sites/default/files/sc/findaid/3225.pdf	LUU	Louisiana State University: LSU Libraries	http://lib.lsu.edu	Hill Memorial Library: Special Collections	"Physical rights are retained by the LSU Libraries. Copyright of the original material is retained in accordance with U.S. copyright laws. Permission to reproduce this image must be requested through the Special Collections Division, Louisiana State University Libraries."	"E-mail lsudiglib@lsu.edu with questions or comments. See instructions for ordering reprints of this image here: http://www.lib.lsu.edu/special/services/duplication.html. Mention the ""Item number"" or ""Item URL"" in your request."	"Great Southern Lumber Company Collection, Mss. 3225, Louisiana and Lower Mississippi Valley Collections, LSU Libraries."	3225010	1988-11	2016-04	"M. Stone Miller, Jr.; Jo Ann Palermo"	Emily Palermo	300ppi	24	RGB	3377x2163	600ppi TIFF files converted to 300ppi JPEG files with Adobe Photoshop	1148 KB	Epson 10000XL/Epson Scan
